Wall time,Step,Value
1552536902.200713,0,0.5769230723381042
1552536903.135962,9,1.0
1552536904.087372,18,0.9523809552192688
1552536905.0453615,27,0.9333333373069763
1552536906.0090961,36,1.0
1552536906.949474,45,0.949999988079071
1552536907.8228788,46,1.0
1552536908.7750068,55,1.0
1552536909.7368484,64,1.0
1552536910.6968029,73,0.9375
1552536911.6586614,82,1.0
1552536912.5868483,91,1.0
1552536913.4189043,92,1.0
1552536914.3470657,101,1.0
1552536915.291408,110,1.0
1552536916.2360024,119,1.0
1552536917.1700127,128,1.0
1552536918.1249368,137,1.0
1552536918.7805724,138,1.0
1552536919.7165797,147,1.0
1552536920.6550732,156,1.0
1552536921.6039586,165,1.0
1552536922.553558,174,1.0
1552536923.5178337,183,1.0
1552536924.3538697,184,1.0
1552536925.329908,193,1.0
1552536926.2753708,202,1.0
1552536927.2218757,211,1.0
1552536928.1932778,220,1.0
1552536929.1457033,229,1.0
1552536929.8240445,230,1.0
1552536930.7515352,239,1.0
1552536931.7133033,248,1.0
1552536932.699164,257,1.0
1552536933.6798139,266,1.0
1552536934.5993102,275,1.0
